subject,session,experiment_block,experiment_phase,trial_index,top_word,bottom_word,study_answer,test_condition,test_stimulation_condition,study_response,study_time_to_respond,test_response,test_time_to_respond,log_num,log_time
SC000,0,0,ENCODING,23,RECEIPT,GARAGE,top,rearranged,1,A,2477.466953510884,none,-999,0,391454.544732121
SC000,0,0,ENCODING,24,PEACH,VIAL,top,rearranged,0,A,1541.8610144988634,none,-999,0,391463.544732121
SC000,0,0,ENCODING,25,PROFESSOR,SHELL,bottom,same,1,S,1660.6285970192403,none,-999,0,391472.544732121
SC000,0,0,ENCODING,26,OGRE,LEAF,bottom,rearranged,0,S,1543.9767515053973,none,-999,0,391481.544732121
SC000,0,0,ENCODING,27,DUMPLING,BOX,top,rearranged,0,A,1390.9919919678941,none,-999,0,391490.544732121
SC000,0,0,ENCODING,28,BARON,MAPLE,bottom,rearranged,1,S,1948.5667415428907,none,-999,0,391499.544732121
SC000,0,0,ENCODING,29,NUN,TROPHY,bottom,rearranged,1,S,2190.145894535817,none,-999,0,391508.544732121
SC000,0,0,ENCODING,30,BLADE,SKIRT,top,same,1,A,2471.8338359962218,none,-999,0,391517.544732121
SC000,0,0,ENCODING,31,FUDGE,ARMBAND,top,same,0,A,2175.883051007986,none,-999,0,391526.544732121
SC000,0,0,ENCODING,32,SHRINE,JAW,bottom,same,0,S,2563.2097015040927,none,-999,0,391535.544732121
SC000,0,0,ENCODING,33,PIRANHA,GYPSY,top,same,0,A,2265.8753665164113,none,-999,0,391544.544732121
SC000,0,0,ENCODING,34,CANDLE,CONDO,top,same,0,A,1476.5023334766738,none,-999,0,391553.544732121
SC000,0,0,ENCODING,35,DUCHESS,DOCUMENT,bottom,same,1,S,2480.6629585218616,none,-999,0,391562.544732121
SC000,0,0,ENCODING,36,HORN,RIDER,top,rearranged,1,A,1800.1611969666556,none,-999,0,391571.544732121
SC000,0,0,ENCODING,37,CAPTAIN,MATCH,bottom,rearranged,1,S,1535.7942740083672,none,-999,0,391580.544732121
SC000,0,0,ENCODING,38,INDIAN,ROBIN,bottom,same,1,A,2552.8496659826487,none,-999,0,391589.544732121
SC000,0,0,ENCODING,39,TROLLEY,BADGER,bottom,same,1,S,1446.0070030181669,none,-999,0,391598.544732121
SC000,0,0,ENCODING,40,DIAL,MOOSE,top,rearranged,1,A,2650.365912471898,none,-999,0,391607.544732121
SC000,0,0,ENCODING,41,STOOL,VEIL,top,same,0,S,3312.7995204995386,none,-999,0,391616.544732121
SC000,0,0,ENCODING,42,AVENUE,IVORY,bottom,same,0,S,2394.808030454442,none,-999,0,391625.544732121
SC000,0,0,ENCODING,43,ONION,ASTRONAUT,top,same,1,A,1844.5992670021951,none,-999,0,391634.544732121
SC000,0,0,ENCODING,44,EASEL,SUBWAY,top,rearranged,1,A,2756.805009499658,none,-999,0,391643.544732121
SC000,0,0,RETRIEVAL,0,FOREST,AMOEBA,none,new,0,none,-999.0,F,976.0804710094817,0,391819.740910157
SC000,0,0,RETRIEVAL,1,LOZENGE,BEACH,none,new,0,none,-999.0,F,1973.572930553928,0,391828.740910157
SC000,0,0,RETRIEVAL,2,BLADE,SKIRT,top,same,1,none,-999.0,G,1664.5116529543884,0,391837.740910157
SC000,0,0,RETRIEVAL,3,ROOF,BISCUIT,none,new,0,none,-999.0,F,2248.744632001035,0,391846.740910157
SC000,0,0,RETRIEVAL,4,TUXEDO,PAPER,none,new,0,none,-999.0,F,2533.6435119388625,0,391855.740910157
SC000,0,0,RETRIEVAL,5,COLOGNE,LOBSTER,bottom,same,1,none,-999.0,G,2166.069204977248,0,391864.740910157
SC000,0,0,RETRIEVAL,6,NUN,RIDER,top,rearranged,1,none,-999.0,H,1631.9149839691818,0,391873.740910157
SC000,0,0,RETRIEVAL,7,ALFALFA,PODIUM,top,same,0,none,-999.0,G,1553.628541470971,0,391882.740910157
SC000,0,0,RETRIEVAL,8,AVENUE,IVORY,bottom,same,0,none,-999.0,H,1830.5207944940776,0,391891.740910157
SC000,0,0,RETRIEVAL,9,TRAIN,ACID,none,new,1,none,-999.0,H,3933.197743492201,0,391900.740910157
SC000,0,0,RETRIEVAL,10,CLOUD,ORCHID,bottom,same,0,none,-999.0,G,2055.164195015095,0,391909.740910157
SC000,0,0,RETRIEVAL,11,CAN,SNACK,bottom,same,0,none,-999.0,G,1225.769346463494,0,391918.740910157
SC000,0,0,RETRIEVAL,12,CHURCH,SILKWORM,bottom,same,1,none,-999.0,G,1864.7367295343429,0,391927.740910157
SC000,0,0,RETRIEVAL,13,TENTACLE,BONFIRE,none,new,1,none,-999.0,F,2658.21576298913,0,391936.740910157
SC000,0,0,RETRIEVAL,14,ALIEN,PHONE,bottom,same,0,none,-999.0,G,1283.9527470059693,0,391945.740910157
SC000,0,0,RETRIEVAL,15,ONION,ASTRONAUT,top,same,1,none,-999.0,G,1240.5067764921114,0,391954.740910157
SC000,0,0,RETRIEVAL,16,TURTLE,OUTFIT,top,same,0,none,-999.0,G,2030.0849450286478,0,391963.740910157
SC000,0,0,RETRIEVAL,17,PARLOR,HUMMUS,none,new,0,none,-999.0,F,1761.5477885119617,0,391972.740910157
SC000,0,0,RETRIEVAL,18,HACKSAW,FUTON,none,new,1,none,-999.0,F,2878.1546999816783,0,391981.740910157
SC000,0,0,RETRIEVAL,19,DUCHESS,DOCUMENT,bottom,same,1,none,-999.0,G,1740.5808825278655,0,391990.740910157
SC000,0,0,RETRIEVAL,20,CAPTAIN,MOOSE,top,rearranged,1,none,-999.0,H,2391.0028584650718,0,391999.740910157
SC000,0,0,RETRIEVAL,21,RECEIPT,SUBWAY,top,rearranged,1,none,-999.0,H,3120.902182010468,0,392008.740910157
SC000,0,0,RETRIEVAL,22,INCHWORM,BRIDE,top,same,1,none,-999.0,G,1582.3548845364712,0,392017.740910157
SC000,0,0,RETRIEVAL,23,LIQUID,MAGNOLIA,top,same,1,none,-999.0,G,1121.656143979635,0,392026.740910157
SC000,0,0,RETRIEVAL,24,WHIP,POUCH,top,same,1,none,-999.0,G,1895.6258020480163,0,392035.740910157
SC000,0,0,RETRIEVAL,25,BARON,GUEST,top,rearranged,0,none,-999.0,G,1599.4244625326246,0,392044.740910157
SC000,0,0,RETRIEVAL,26,TROUT,VISOR,top,same,1,none,-999.0,G,1715.3549710055813,0,392053.740910157
SC000,0,0,RETRIEVAL,27,MULCH,SLINGSHOT,none,new,1,none,-999.0,F,2084.0532004949637,0,392062.740910157
SC000,0,0,RETRIEVAL,28,PEACH,GARAGE,top,rearranged,1,none,-999.0,H,2159.916259464808,0,392071.740910157
SC000,0,0,RETRIEVAL,29,SODA,COIN,bottom,rearranged,0,none,-999.0,H,2833.108459424693,0,392080.740910157
SC000,0,0,RETRIEVAL,30,PIRANHA,GYPSY,top,same,0,none,-999.0,G,1534.1315940022469,0,392089.740910157
SC000,0,0,RETRIEVAL,31,FUDGE,ARMBAND,top,same,0,none,-999.0,G,1628.669829980936,0,392098.740910157
SC000,0,0,RETRIEVAL,32,VITAMIN,DAUGHTER,top,same,0,none,-999.0,G,1269.3799610133283,0,392107.740910157
SC000,0,0,RETRIEVAL,33,CANDLE,CONDO,top,same,0,none,-999.0,G,1498.3609665068798,0,392116.740910157
SC000,0,0,RETRIEVAL,34,KITE,JACKET,top,same,1,none,-999.0,H,2612.4374819919467,0,392125.740910157
SC000,0,0,RETRIEVAL,35,INDIAN,ROBIN,bottom,same,1,none,-999.0,G,1678.2774400198832,0,392134.740910157
SC000,0,0,RETRIEVAL,36,YACHT,PAINT,none,new,1,none,-999.0,F,2084.2461515567265,0,392143.740910157
SC000,0,0,RETRIEVAL,37,PROFESSOR,SHELL,bottom,same,1,none,-999.0,G,1480.5330884992145,0,392152.740910157
SC000,0,0,RETRIEVAL,38,EASEL,MATCH,bottom,rearranged,1,none,-999.0,H,2236.9194325292483,0,392161.740910157
SC000,0,0,RETRIEVAL,39,DIAL,TROPHY,bottom,rearranged,1,none,-999.0,H,2226.2368229567073,0,392170.740910157
SC000,0,0,RETRIEVAL,40,GUITAR,WAITER,top,same,1,none,-999.0,G,2027.896989544388,0,392179.740910157
SC000,0,0,RETRIEVAL,41,ORE,ZEBRA,top,same,0,none,-999.0,G,2241.827476012986,0,392188.740910157
SC000,0,0,RETRIEVAL,42,BROCCOLI,ALTAR,none,new,0,none,-999.0,F,1893.3904779842123,0,392197.740910157
SC000,0,0,RETRIEVAL,43,ELEPHANT,MARKER,bottom,same,0,none,-999.0,G,1374.7793624643236,0,392206.740910157
SC000,0,0,RETRIEVAL,44,TROLLEY,BADGER,bottom,same,1,none,-999.0,G,1429.3776199920103,0,392215.740910157
SC000,0,0,RETRIEVAL,45,PEA,BOX,top,rearranged,0,none,-999.0,G,2233.4482959704474,0,392224.740910157
SC000,0,0,RETRIEVAL,46,HORN,MAPLE,bottom,rearranged,1,none,-999.0,H,1650.6145340390503,0,392233.740910157
SC000,0,0,RETRIEVAL,47,HOSPICE,BULL,top,rearranged,1,none,-999.0,H,2286.9941109674983,0,392242.740910157
SC000,0,0,RETRIEVAL,48,SALOON,GRAPH,none,new,1,none,-999.0,F,1589.1683800145984,0,392251.740910157
SC000,0,0,RETRIEVAL,49,OGRE,VIAL,top,rearranged,0,none,-999.0,H,2396.261432033498,0,392260.740910157
SC000,0,0,RETRIEVAL,50,SHRINE,JAW,bottom,same,0,none,-999.0,G,1655.7847544318065,0,392269.740910157
SC000,0,0,RETRIEVAL,51,WING,BRIEFCASE,top,same,1,none,-999.0,G,1164.7382660303265,0,392278.740910157
SC000,0,0,RETRIEVAL,52,STOOL,VEIL,top,same,0,none,-999.0,G,2362.9927074653096,0,392287.740910157
SC000,0,0,RETRIEVAL,53,FABRIC,LEAF,bottom,rearranged,0,none,-999.0,H,1874.8787199729122,0,392296.740910157
SC000,0,0,RETRIEVAL,54,PORRIDGE,RHINO,top,rearranged,0,none,-999.0,H,1868.0148900020868,0,392305.740910157
SC000,0,0,RETRIEVAL,55,DUMPLING,TWEEZERS,bottom,rearranged,0,none,-999.0,H,2163.0112454877235,0,392314.740910157
SC000,0,0,RETRIEVAL,56,SAUCE,RINK,none,new,1,none,-999.0,F,1795.0510985101573,0,392323.740910157
SC000,0,0,RETRIEVAL,57,SHAWL,MUSKRAT,none,new,0,none,-999.0,F,1698.7535540247336,0,392332.740910157
SC000,0,0,RETRIEVAL,58,SAUCER,MACKEREL,bottom,same,0,none,-999.0,G,1529.712659015786,0,392341.740910157
SC000,0,0,RETRIEVAL,59,MOSS,KETTLE,none,new,1,none,-999.0,G,2205.913211510051,0,392350.740910157
